cluster_2	new_type	feature	cluster	type
5	bachelor,degree	education required bachelors degree	1	education
5	bachelor,degree	education degree ged preferred	1	education
5	bachelor,degree	education and or degree	1	education
5	bachelor,degree	education requirement bachelor degree	1	education
5	bachelor,degree	education hs degree bachelors	1	education
5	bachelor,degree	education required bachelor degree	1	education
5	bachelor,degree	education master degree	1	education
5	bachelor,degree	degree the required education	1	education
5	bachelor,degree	education bachelor degree	1	education
5	bachelor,degree	education bachelor degree in	1	education
5	bachelor,degree	education associate degree job	1	education
5	bachelor,degree	education level bachelor degree	1	education
5	bachelor,degree	education college degree	1	education
5	bachelor,degree	education bachelor level degree	1	education
5	bachelor,degree	education bachelor degree with	1	education
5	bachelor,degree	education bachelor degree or	1	education
5	bachelor,degree	education college degree plus	1	education
5	bachelor,degree	education bachelors degree required	1	education
5	bachelor,degree	education associates degree required	1	education
5	bachelor,degree	education associates degree	1	education
5	bachelor,degree	education associate degree	1	education
5	bachelor,degree	education master degree in	1	education
5	bachelor,degree	education degree cbtwc	1	education
5	bachelor,degree	required education degree	1	education
5	bachelor,degree	qualifications education associates degree	1	education
5	bachelor,degree	id education hs degree	1	education
5	bachelor,degree	management education bachelors degree	1	education
5	bachelor,degree	minimum education college degree	1	education
5	bachelor,degree	education degree ged	1	education
5	bachelor,degree	general education degree	1	education
5	bachelor,degree	education degree	1	education
5	bachelor,degree	qualifications education bachelors degree	1	education
5	bachelor,degree	education bachelors degree	1	education
5	bachelor,degree	education bachelors degree in	1	education
5	bachelor,degree	general education degree two	1	education
5	bachelor,degree	general education degree cbtwc	1	education
5	bachelor,degree	or general education degree	1	education
5	bachelor,degree	skills education bachelor degree	1	education
5	bachelor,degree	education hs degree	1	education
5	bachelor,degree	19 education hs degree	1	education
5	bachelor,degree	education degree ged or	1	education
5	bachelor,degree	education degree two	1	education
5	bachelor,degree	education requirements bachelor degree	1	education
5	bachelor,degree	education degree cbtwc 05	1	education
5	bachelor,degree	qualifications required education degree	1	education
5	bachelor,degree	education degree licenses	1	education
5	bachelor,degree	education degree ged required	1	education
5	bachelor,degree	education degree ged minimum	1	education
5	bachelor,degree	materials education master degree	1	education
4	higher,education	concepts to higher education	1	education
4	higher,education	or higher education industry	1	education
4	higher,education	chartwells higher education	1	education
4	higher,education	higher education brings fresh	1	education
