cluster_2	new_type	feature	cluster	type
11	Unknown	maintain strong knowledge of	6	knowledge
11	Unknown	features maintain knowledge	6	knowledge
11	Unknown	maintain comprehensive knowledge	6	knowledge
11	Unknown	_preferred_ maintain working knowledge	6	knowledge
11	Unknown	customers maintaining sound knowledge	6	knowledge
11	Unknown	knowledge expert maintain store	6	knowledge
11	Unknown	compliance training maintain knowledge	6	knowledge
11	Unknown	and maintain knowledge	6	knowledge
11	Unknown	unit maintain working knowledge	6	knowledge
11	Unknown	maintain comprehensive knowledge of	6	knowledge
11	Unknown	knowledge gaining and maintaining	6	knowledge
11	Unknown	knowledge maintain constant	6	knowledge
11	Unknown	maintain knowledge of cashier	6	knowledge
11	Unknown	knowledge maintain	6	knowledge
11	Unknown	register and maintain knowledge	6	knowledge
11	Unknown	preferred_ maintain working knowledge	6	knowledge
10	Unknown	knowledge of local	6	knowledge
10	Unknown	knowledge of local plant	6	knowledge
10	Unknown	knowledge of local markets	6	knowledge
10	Unknown	experience knowledge of local	6	knowledge
10	Unknown	local market conditions knowledge	6	knowledge
10	Unknown	network knowledge of local	6	knowledge
10	Unknown	current knowledge regarding local	6	knowledge
10	Unknown	knowledge of local and	6	knowledge
10	Unknown	knowledge regarding local vocational	6	knowledge
10	Unknown	knowledge regarding local	6	knowledge
10	Unknown	learn knowledge of local	6	knowledge
10	Unknown	strong knowledge of local	6	knowledge
9	Unknown	is required knowledge of	6	knowledge
9	Unknown	hvac knowledge required	6	knowledge
9	Unknown	hvac knowledge required current	6	knowledge
9	Unknown	environment requires knowledge	6	knowledge
9	Unknown	environment requires knowledge of	6	knowledge
9	Unknown	is required knowledge	6	knowledge
9	Unknown	minimum requirements knowledge	6	knowledge
9	Unknown	and knowledge requirements	6	knowledge
9	Unknown	times minimum requirements knowledge	6	knowledge
9	Unknown	minimum requirements knowledge skills	6	knowledge
9	Unknown	experience required knowledge and	6	knowledge
9	Unknown	experience is required knowledge	6	knowledge
9	Unknown	center environment requires knowledge	6	knowledge
9	Unknown	this requires extensive knowledge	6	knowledge
9	Unknown	with the required knowledge	6	knowledge
9	Unknown	general hvac knowledge required	6	knowledge
9	Unknown	and knowledge requirements we	6	knowledge
9	Unknown	not required knowledge of	6	knowledge
9	Unknown	not required knowledge	6	knowledge
9	Unknown	workload required knowledge skills	6	knowledge
9	Unknown	workload required knowledge	6	knowledge
